Program Type,Start Year,Region,Highway,Location,Type Of Work,Highway Program Status,Target Completion,Contract #,Project Length (kilometres),Estimated Cost Range,Engineering Status,Delivery Method
Rehab,2027-2028,"North, East",65,Elk Lake northerly 18.5 km,"Resurfacing, Culvert replacement",Planned,2027-2028,2026-5003,18.5,$10 to $25 million,Design underway,To be determined
Rehab,2027-2028,"North, East",17,"Everett Lake Tributary Culvert, Iron Bridge",Culvert replacement,Planned,2026,2026-5012,0,$0 to $10 million,Design underway,To be determined
Rehab,2027-2028,"North, East",To be assigned,"Root River #1 Culvert and Root River #2 Culvert, Sault Ste. Marie",Culvert replacement,Planned,2027-2028,,0,$0 to $10 million,Design underway,To be determined
Rehab,2027-2028,"North, East",638,"Bar River Bridge #1, Bar River Bridge #2 and Bar River Bridge #3, Echo Bay",Bridge replacement,Planned,Not available,,0,$10 to $25 million,Design underway,To be determined
Rehab,2027-2028,"North, East","11, 520","1 km north of Hwy 520 northerly 8.7 km, Burk's Falls",Resurfacing,Planned,2027-2028,,8.7,$10 to $25 million,Design upcoming,To be determined
Rehab,2027-2028,"North, East","535, 64","Hwy 528 northerly 21.7 km and Hwy 535 from Hwy 64 northerly 2.1 km, Noelville","Resurfacing, Paved shoulders",Planned,Not available,,23.8,$10 to $25 million,Design underway,To be determined
Rehab,2027-2028,"North, East",631,"Nagagamisis Lake Bridge northerly 31.2 km, Hornepayne",Resurfacing,Planned,Not available,,31.2,$0 to $10 million,Design upcoming,To be determined
Rehab,2027-2028,"North, East",17,"Depew River Bridge, Chain Lake Culvert, CPR overhead, South White River and South White River Bridge, south of White River","Bridge replacement, Culvert rehabilitation",Planned,2027-2028,,0,$25 to $100 million,Design underway,To be determined
Rehab,2027-2028,"North, East",17,"Spanish River Bridge, 8.2 km east of Hwy 6, east of McKerrow",Bridge rehabilitation,Planned,2027-2028,,0,$0 to $10 million,Design upcoming,To be determined
Rehab,2027-2028,"North, East",11,"Fern Glen Rd. underpass, 4.2 km south of Hwy 518, Emsdale",Bridge rehabilitation,Planned,2027-2028,,0,$0 to $10 million,Design upcoming,To be determined
Rehab,2027-2028,"North, East",11,"Sand Dam Rd. northerly to Ellesmere Rd., North Bay","Safety improvements, Resurfacing, Passing lane",Planned,Not available,,13.8,$100 to $250 million,Design underway,To be determined
Rehab,2027-2028,"North, East",144,"North of Hwy 661 northerly, north of Gogama","Resurfacing, Culvert rehabilitation",Planned,Not available,,28.1,$25 to $100 million,Design underway,To be determined
Rehab,2027-2028,"North, East",60,"Opeongo River Bridge, Madawaska River Bridge and Poverty Creek Culvert, Madawaska","Bridge replacement, Culvert replacement",Planned,Not available,,0,$25 to $100 million,Planning/environmental assessment underway,To be determined
